DATE,BEDS_ICU_TOTAL,BEDS_ICU_OCCUPIED_COVID_19,BEDS_ICU_NO_OCCUPIED_COVID_19,BEDS_AVAILABLE_ICU_BEDS_TOTAL,VENTS_TOTAL,VENTS_ALL_USE_COVID_19,VENTS_NON_COVID_PTS_ON_VENTS,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,PCT_BEDS_ICU_OCCUPIED_COVID_19,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,PCT_VENTS_ALL_USE_COVID_19,PCT_VENTS_NON_COVID_PTS_ON_VENTS,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE
2020-02-26,0,0,0,0,0,0,0,0,,,,,,
2020-02-27,0,0,0,0,0,0,0,0,,,,,,
2020-02-28,0,0,0,0,0,0,0,0,,,,,,
2020-02-29,0,0,0,0,0,0,0,0,,,,,,
2020-03-02,0,0,0,0,0,0,0,0,,,,,,
2020-03-03,0,0,0,0,0,0,0,0,,,,,,
2020-03-04,0,0,0,0,0,0,0,0,,,,,,
2020-03-05,0,0,0,0,0,0,0,0,,,,,,
2020-03-06,0,0,0,0,0,0,0,0,,,,,,
2020-03-07,0,0,0,0,0,0,0,0,,,,,,
2020-03-08,0,0,0,0,0,0,0,0,,,,,,
2020-03-09,0,0,0,0,0,0,0,0,,,,,,
2020-03-10,0,0,0,0,0,0,0,0,,,,,,
2020-03-11,0,0,0,0,0,0,0,0,,,,,,
2020-03-12,0,0,0,0,0,0,0,0,,,,,,
2020-03-13,0,0,0,0,0,0,0,0,,,,,,
2020-03-14,0,0,0,0,0,0,0,0,,,,,,
2020-03-15,0,0,0,0,0,0,0,0,,,,,,
2020-03-16,0,0,0,0,0,0,0,0,,,,,,
2020-03-17,0,0,0,0,0,0,0,0,,,,,,
2020-03-18,0,0,0,0,0,0,0,0,,,,,,
2020-03-19,0,0,0,0,0,0,0,0,,,,,,
2020-03-20,0,0,0,0,0,0,0,0,,,,,,
2020-03-21,0,0,0,0,0,0,0,0,,,,,,
2020-03-22,0,0,0,0,0,0,0,0,,,,,,
2020-03-23,0,0,0,0,0,0,0,0,,,,,,
2020-03-24,0,0,0,0,0,0,0,0,,,,,,
2020-03-25,0,0,0,0,0,0,0,0,,,,,,
2020-03-26,0,0,0,0,0,0,0,0,,,,,,
2020-03-27,0,0,0,0,0,0,0,0,,,,,,
2020-03-28,0,0,0,0,0,0,0,0,,,,,,
2020-03-29,0,0,0,0,0,0,0,0,,,,,,
2020-03-30,0,0,0,0,0,0,0,0,,,,,,
2020-03-31,0,0,0,0,0,0,0,0,,,,,,
2020-04-01,0,0,0,0,0,0,0,0,,,,,,
2020-04-02,0,0,0,0,0,0,0,0,,,,,,
2020-04-03,0,0,0,0,0,0,0,0,,,,,,
2020-04-04,0,0,0,0,0,0,0,0,,,,,,
2020-04-05,0,0,0,0,0,0,0,0,,,,,,
2020-04-06,0,0,0,0,0,0,0,0,,,,,,
2020-04-07,0,0,0,0,0,0,0,0,,,,,,
2020-04-08,2981,829,881,1271,2756,501,351,1904,27.81,29.55,42.64,18.18,12.74,69.09
2020-04-09,2947,856,872,1219,2758,476,391,1891,29.05,29.59,41.36,17.26,14.18,68.56
2020-04-10,2919,781,860,1278,2905,480,353,2072,26.76,29.46,43.78,16.52,12.15,71.33
2020-04-11,2960,726,920,1314,2872,464,315,2093,24.53,31.08,44.39,16.16,10.97,72.88
2020-04-12,2908,719,853,1336,2921,440,308,2173,24.72,29.33,45.94,15.06,10.54,74.39
2020-04-13,2920,721,848,1351,2926,437,309,2180,24.69,29.04,46.27,14.94,10.56,74.5
2020-04-14,2948,738,868,1342,2895,424,331,2140,25.03,29.44,45.52,14.65,11.43,73.92
2020-04-15,2926,696,924,1306,2961,427,297,2237,23.79,31.58,44.63,14.42,10.03,75.55
2020-04-16,2915,639,918,1358,3027,417,326,2284,21.92,31.49,46.59,13.78,10.77,75.45
2020-04-17,2837,663,825,1349,3080,359,334,2387,23.37,29.08,47.55,11.66,10.84,77.5
2020-04-18,2872,649,878,1345,3117,344,332,2441,22.6,30.57,46.83,11.04,10.65,78.31
2020-04-19,2863,670,833,1360,3104,353,342,2409,23.4,29.1,47.5,11.37,11.02,77.61
2020-04-20,3008,677,906,1425,3173,369,358,2446,22.51,30.12,47.37,11.63,11.28,77.09
2020-04-21,3060,634,1009,1417,3184,335,401,2448,20.72,32.97,46.31,10.52,12.59,76.88
2020-04-22,3234,652,1178,1404,3203,333,404,2466,20.16,36.43,43.41,10.4,12.61,76.99
2020-04-23,3272,621,1201,1450,3215,325,372,2518,18.98,36.71,44.32,10.11,11.57,78.32
2020-04-24,3258,598,1204,1456,3198,324,359,2515,18.35,36.96,44.69,10.13,11.23,78.64
2020-04-25,3312,588,1304,1420,3158,310,359,2489,17.75,39.37,42.87,9.82,11.37,78.82
2020-04-26,3307,581,1277,1449,3160,284,378,2498,17.57,38.62,43.82,8.99,11.96,79.05
2020-04-27,3271,546,1279,1446,3180,275,380,2525,16.69,39.1,44.21,8.65,11.95,79.4
