date,county,region,fips,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,new_booster_dose_administered,current_as_of
2020-12-15,Pulaski,2,18131,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-15,Scott,9,18143,12,0,0,12,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-15,St. Joseph,2,18141,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-15,Steuben,3,18151,4,0,0,4,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-15,Vanderburgh,10,18163,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-15,Warrick,10,18173,4,0,0,4,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-15,Washington,8,18175,4,0,0,4,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-15,Whitley,3,18183,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Adams,3,18001,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Allen,3,18003,317,0,0,317,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Bartholomew,8,18005,6,0,0,6,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Boone,5,18011,9,0,0,9,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Brown,8,18013,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Carroll,4,18015,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Clark,9,18019,131,0,0,131,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Clay,7,18021,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Clinton,4,18023,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Daviess,10,18027,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,De Kalb,3,18033,18,0,0,18,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Dearborn,9,18029,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Delaware,6,18035,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Dubois,10,18037,7,0,0,7,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
