Date,County,ED Visit Count,Hospitalization Count
2020-09-02,Adams,0,0
2020-09-03,Adams,3,0
2020-09-04,Adams,0,0
2020-09-05,Adams,0,0
2020-09-06,Adams,0,0
2020-09-07,Adams,1,2
2020-09-08,Adams,3,0
2020-09-09,Adams,1,0
2020-09-10,Adams,1,2
2020-09-11,Adams,2,0
2020-09-12,Adams,1,0
2020-09-13,Adams,2,0
2020-09-14,Adams,0,0
2020-09-15,Adams,1,2
2020-09-16,Adams,1,0
2020-09-17,Adams,0,0
2020-09-18,Adams,1,0
2020-09-19,Adams,2,1
2020-09-20,Adams,1,0
2020-09-21,Adams,1,1
2020-09-22,Adams,1,1
2020-09-23,Adams,0,0
2020-09-24,Adams,1,4
2020-09-25,Adams,1,3
2020-09-26,Adams,0,0
2020-09-27,Adams,0,1
2020-09-28,Adams,2,1
2020-09-29,Adams,0,1
2020-09-30,Adams,0,1
2020-10-01,Adams,2,1
2020-10-02,Adams,4,1
2020-10-03,Adams,1,1
2020-10-04,Adams,0,0
2020-10-05,Adams,0,1
2020-10-06,Adams,1,0
2020-10-07,Adams,1,0
2020-10-08,Adams,1,0
2020-10-09,Adams,1,1
2020-10-10,Adams,2,0
2020-10-11,Adams,0,4
2020-10-12,Adams,4,4
2020-10-13,Adams,3,0
2020-10-14,Adams,2,0
2020-10-15,Adams,1,0
2020-10-16,Adams,3,2
2020-10-17,Adams,2,1
2020-10-18,Adams,0,1
2020-10-19,Adams,4,1
2020-10-20,Adams,1,0
2020-10-21,Adams,2,1
2020-10-22,Adams,3,2
2020-10-23,Adams,6,0
2020-10-24,Adams,4,0
2020-10-25,Adams,1,0
2020-10-26,Adams,1,0
2020-10-27,Adams,4,2
2020-10-28,Adams,4,1
2020-10-29,Adams,1,0
2020-10-30,Adams,3,0
2020-10-31,Adams,3,2
2020-11-01,Adams,0,1
2020-11-02,Adams,3,0
2020-11-03,Adams,3,3
2020-11-04,Adams,3,1
2020-11-05,Adams,6,3
2020-11-06,Adams,1,2
2020-11-07,Adams,7,3
2020-11-08,Adams,7,2
2020-11-09,Adams,7,0
2020-11-10,Adams,5,2
2020-11-11,Adams,3,1
2020-11-12,Adams,3,2
2020-11-13,Adams,4,1
2020-11-14,Adams,4,2
2020-11-15,Adams,4,1
2020-03-01,Allen,2,1
2020-03-02,Allen,5,1
2020-03-03,Allen,2,2
2020-03-04,Allen,0,0
2020-03-05,Allen,0,1
2020-03-06,Allen,4,1
2020-03-07,Allen,1,1
2020-03-08,Allen,2,0
2020-03-09,Allen,3,1
2020-03-10,Allen,1,1
2020-03-11,Allen,5,2
2020-03-12,Allen,7,2
2020-03-13,Allen,2,1
2020-03-14,Allen,1,3
2020-03-15,Allen,1,3
2020-03-16,Allen,1,1
2020-03-17,Allen,2,0
2020-03-18,Allen,0,2
2020-03-19,Allen,3,3
2020-03-20,Allen,3,0
2020-03-21,Allen,3,2
2020-03-22,Allen,5,4
2020-03-23,Allen,2,1
2020-03-24,Allen,4,4
